run number,spawn-prob-all,num-complete
7,0.01,195
5,0.01,163
2,0.01,169
6,0.01,192
8,0.01,190
4,0.01,193
3,0.01,199
1,0.01,201
14,0.01,175
10,0.01,207
11,0.01,182
9,0.01,189
15,0.01,176
13,0.01,200
12,0.01,191
16,0.01,179
19,0.01,179
17,0.01,188
18,0.01,204
20,0.01,192
21,0.01,176
22,0.01,190
23,0.01,185
24,0.01,197
26,0.01,182
25,0.01,197
29,0.01,166
28,0.01,196
31,0.01,166
27,0.01,173
30,0.01,167
32,0.01,178
34,0.01,187
36,0.01,180
38,0.01,171
35,0.01,184
33,0.01,188
37,0.01,179
39,0.01,195
44,0.01,172
40,0.01,186
41,0.01,185
42,0.01,164
45,0.01,203
46,0.01,179
43,0.01,210
47,0.01,210
50,0.01,192
48,0.01,170
49,0.01,176
51,0.02,372
52,0.02,356
54,0.02,342
53,0.02,389
55,0.02,348
56,0.02,353
57,0.02,366
60,0.02,361
59,0.02,369
58,0.02,349
61,0.02,383
62,0.02,366
63,0.02,356
64,0.02,322
65,0.02,346
66,0.02,331
67,0.02,346
68,0.02,327
70,0.02,352
69,0.02,346
71,0.02,342
72,0.02,391
73,0.02,347
74,0.02,335
75,0.02,359
77,0.02,345
78,0.02,362
79,0.02,333
76,0.02,356
80,0.02,351
81,0.02,359
82,0.02,340
83,0.02,373
85,0.02,341
84,0.02,343
86,0.02,351
87,0.02,335
88,0.02,354
89,0.02,357
90,0.02,333
91,0.02,332
92,0.02,338
93,0.02,339
94,0.02,350
95,0.02,323
96,0.02,362
97,0.02,337
98,0.02,357
99,0.02,337
100,0.02,334
101,0.03,485
102,0.03,503
104,0.03,496
105,0.03,495
107,0.03,486
106,0.03,473
108,0.03,491
103,0.03,500
109,0.03,484
110,0.03,485
113,0.03,492
114,0.03,485
111,0.03,493
112,0.03,498
116,0.03,491
115,0.03,498
117,0.03,499
118,0.03,498
121,0.03,458
120,0.03,494
119,0.03,485
123,0.03,483
124,0.03,488
125,0.03,490
122,0.03,502
127,0.03,495
128,0.03,483
126,0.03,496
131,0.03,490
130,0.03,488
129,0.03,491
132,0.03,505
136,0.03,479
135,0.03,495
133,0.03,503
138,0.03,487
139,0.03,495
134,0.03,505
137,0.03,497
140,0.03,503
143,0.03,485
141,0.03,494
144,0.03,482
147,0.03,488
146,0.03,493
148,0.03,474
145,0.03,506
142,0.03,494
150,0.03,467
149,0.03,486
152,0.04,504
153,0.04,506
151,0.04,501
156,0.04,502
155,0.04,505
154,0.04,504
157,0.04,506
158,0.04,505
159,0.04,502
160,0.04,506
162,0.04,505
163,0.04,506
164,0.04,502
161,0.04,504
165,0.04,504
166,0.04,505
168,0.04,505
167,0.04,503
169,0.04,503
171,0.04,504
170,0.04,503
172,0.04,505
173,0.04,504
174,0.04,504
175,0.04,504
176,0.04,507
177,0.04,505
178,0.04,505
181,0.04,504
179,0.04,505
180,0.04,504
182,0.04,506
184,0.04,504
183,0.04,502
185,0.04,504
186,0.04,504
187,0.04,505
188,0.04,503
189,0.04,505
190,0.04,506
191,0.04,504
192,0.04,503
193,0.04,505
194,0.04,506
196,0.04,505
195,0.04,506
197,0.04,505
198,0.04,508
199,0.04,505
200,0.04,505
