[run number],spawn-prob-all,num-complete
6,0.01,153
4,0.01,170
2,0.01,177
7,0.01,163
3,0.01,181
5,0.01,184
1,0.01,161
8,0.01,187
11,0.01,163
16,0.01,170
9,0.01,189
12,0.01,182
14,0.01,176
13,0.01,161
10,0.01,188
15,0.01,158
17,0.01,163
19,0.01,179
18,0.01,183
20,0.01,193
22,0.01,195
21,0.01,199
23,0.01,186
24,0.01,175
26,0.01,161
25,0.01,176
27,0.01,177
28,0.01,185
29,0.01,173
30,0.01,182
31,0.01,172
32,0.01,194
33,0.01,160
35,0.01,177
34,0.01,189
37,0.01,162
36,0.01,183
38,0.01,173
39,0.01,199
41,0.01,180
40,0.01,168
44,0.01,169
42,0.01,178
43,0.01,180
45,0.01,184
46,0.01,194
47,0.01,181
48,0.01,171
50,0.01,169
49,0.01,192
51,0.02,283
54,0.02,267
52,0.02,280
53,0.02,292
55,0.02,308
56,0.02,291
57,0.02,292
58,0.02,282
59,0.02,305
60,0.02,265
62,0.02,294
61,0.02,279
63,0.02,273
64,0.02,286
65,0.02,264
66,0.02,288
67,0.02,279
68,0.02,289
69,0.02,290
71,0.02,307
70,0.02,295
72,0.02,288
73,0.02,306
75,0.02,293
74,0.02,263
79,0.02,301
77,0.02,289
76,0.02,274
78,0.02,302
80,0.02,323
81,0.02,277
82,0.02,295
84,0.02,288
87,0.02,267
83,0.02,303
85,0.02,300
86,0.02,297
88,0.02,267
89,0.02,292
90,0.02,288
91,0.02,267
92,0.02,274
95,0.02,289
94,0.02,287
93,0.02,278
96,0.02,267
97,0.02,292
98,0.02,262
99,0.02,293
100,0.02,290
101,0.03,315
102,0.03,309
104,0.03,335
103,0.03,344
106,0.03,315
105,0.03,329
107,0.03,302
108,0.03,315
109,0.03,346
111,0.03,288
110,0.03,299
112,0.03,307
113,0.03,323
114,0.03,325
115,0.03,304
116,0.03,355
119,0.03,336
118,0.03,333
117,0.03,310
120,0.03,311
121,0.03,322
122,0.03,314
123,0.03,326
124,0.03,329
126,0.03,313
125,0.03,332
127,0.03,329
130,0.03,337
128,0.03,327
129,0.03,315
131,0.03,325
132,0.03,305
133,0.03,331
134,0.03,312
135,0.03,326
136,0.03,305
138,0.03,320
139,0.03,318
137,0.03,295
140,0.03,308
141,0.03,339
142,0.03,313
143,0.03,333
144,0.03,322
145,0.03,298
146,0.03,303
147,0.03,310
148,0.03,302
149,0.03,297
150,0.03,325
151,0.04,335
152,0.04,339
153,0.04,292
154,0.04,351
156,0.04,335
157,0.04,363
155,0.04,326
158,0.04,331
159,0.04,339
160,0.04,333
161,0.04,319
162,0.04,367
164,0.04,329
163,0.04,332
165,0.04,331
166,0.04,317
167,0.04,323
168,0.04,309
169,0.04,333
170,0.04,368
171,0.04,374
172,0.04,314
174,0.04,319
173,0.04,337
175,0.04,356
176,0.04,345
177,0.04,350
178,0.04,359
179,0.04,332
180,0.04,327
181,0.04,359
183,0.04,337
182,0.04,321
184,0.04,314
186,0.04,298
185,0.04,343
187,0.04,336
188,0.04,311
189,0.04,306
190,0.04,322
191,0.04,349
192,0.04,310
193,0.04,325
194,0.04,319
195,0.04,345
197,0.04,315
196,0.04,304
198,0.04,305
199,0.04,317
200,0.04,316
