Run number,prob,complete
5,0.01,174
4,0.01,174
8,0.01,184
6,0.01,170
2,0.01,174
3,0.01,174
1,0.01,177
7,0.01,190
9,0.01,170
13,0.01,163
11,0.01,185
12,0.01,177
16,0.01,190
10,0.01,182
14,0.01,185
15,0.01,192
17,0.01,154
20,0.01,165
19,0.01,187
22,0.01,177
23,0.01,175
18,0.01,196
21,0.01,184
24,0.01,174
25,0.01,191
26,0.01,169
28,0.01,183
27,0.01,200
30,0.01,159
31,0.01,186
29,0.01,188
32,0.01,199
34,0.01,171
33,0.01,174
35,0.01,160
37,0.01,200
39,0.01,173
36,0.01,192
38,0.01,194
40,0.01,167
41,0.01,176
42,0.01,196
43,0.01,193
46,0.01,172
44,0.01,179
45,0.01,183
47,0.01,185
48,0.01,197
49,0.01,182
50,0.01,178
51,0.02,330
54,0.02,336
55,0.02,322
52,0.02,373
53,0.02,374
58,0.02,319
57,0.02,343
56,0.02,364
60,0.02,330
59,0.02,355
61,0.02,345
62,0.02,334
63,0.02,349
64,0.02,321
65,0.02,347
66,0.02,327
67,0.02,345
69,0.02,354
68,0.02,351
71,0.02,335
70,0.02,355
72,0.02,357
73,0.02,347
74,0.02,352
75,0.02,344
77,0.02,338
78,0.02,322
76,0.02,349
79,0.02,357
81,0.02,337
80,0.02,358
83,0.02,311
84,0.02,308
82,0.02,329
86,0.02,333
85,0.02,351
87,0.02,339
88,0.02,337
89,0.02,358
90,0.02,336
92,0.02,300
93,0.02,330
91,0.02,363
94,0.02,342
95,0.02,352
96,0.02,349
97,0.02,350
100,0.02,327
98,0.02,371
99,0.02,343
102,0.03,455
101,0.03,512
103,0.03,491
104,0.03,473
105,0.03,460
106,0.03,488
107,0.03,486
108,0.03,476
109,0.03,472
110,0.03,496
111,0.03,500
112,0.03,479
113,0.03,494
115,0.03,476
114,0.03,520
116,0.03,492
117,0.03,495
119,0.03,471
118,0.03,487
120,0.03,479
121,0.03,490
122,0.03,464
123,0.03,467
124,0.03,479
125,0.03,476
126,0.03,454
127,0.03,482
128,0.03,501
130,0.03,479
129,0.03,467
131,0.03,475
132,0.03,472
134,0.03,464
133,0.03,551
136,0.03,470
135,0.03,505
137,0.03,489
138,0.03,487
139,0.03,471
141,0.03,497
140,0.03,502
142,0.03,508
143,0.03,450
144,0.03,482
145,0.03,481
147,0.03,477
146,0.03,491
148,0.03,469
150,0.03,488
149,0.03,482
155,0.04,588
151,0.04,204
158,0.04,408
152,0.04,86
157,0.04,318
153,0.04,81
154,0.04,92
156,0.04,143
159,0.04,112
166,0.04,535
162,0.04,307
161,0.04,278
160,0.04,156
163,0.04,161
164,0.04,153
165,0.04,126
171,0.04,371
170,0.04,308
167,0.04,167
174,0.04,520
169,0.04,226
172,0.04,333
168,0.04,90
173,0.04,74
179,0.04,574
181,0.04,539
175,0.04,96
176,0.04,104
178,0.04,116
177,0.04,91
180,0.04,107
182,0.04,63
184,0.04,168
183,0.04,124
187,0.04,374
188,0.04,403
186,0.04,190
185,0.04,83
189,0.04,164
190,0.04,347
194,0.04,400
191,0.04,254
193,0.04,283
195,0.04,425
192,0.04,84
198,0.04,569
196,0.04,250
197,0.04,132
199,0.04,223
200,0.04,86
